assisted_bathing,When one character is [[bathing]] another.
towel_snap,The action of using a towel (usually wet) to act as a whip.
butterfly_(accessory),"A [b]butterfly accessory[/b] is a clip-on [[accessory]] resembling a [[butterfly]]. This should probably not be tagged as a species.

h4. Related tags

* [[clip_accessory]]
** [[hairclip]]

h4. See also

* [[accessory]]
** [[bell_accessory]]
** [[bow_accessory]]
** [b]butterfly_(accessory)[/b]
** [[flower_accessory]]
** [[heart_accessory]]
** [[star_accessory]]"
assisted_fellatio,"A situation where a third party assists with the act of one character performing [[fellatio]] on another, frequently without directly participating in the act of fellatio (although they may also be directly participating while also assisting another character, in which case it would also be tagged with [[collaborative_fellatio]]).

Like with [[assisted_sex]], this could be either willing or [[forced]].

Usually done by directing or controlling the head of the character performing fellatio.

h4. See also:
* [[oral]]
** [[fellatio]], [[cunnilingus]]
* [[assisted_sex]]
** [[assisted_oral]], [[assisted_cunnilingus]]
* [[collaborative_sex]]
** [[collaborative_oral]], [[collaborative_fellatio]], [[collaborative_cunnilingus]]
* [[forced]]
** [[forced_partners]]
** [[forced_oral]], [[reverse_forced_oral]], [[forced_fellatio]]
** [[assisted_rape]]"
sound_effects,"In visual entertainment, sound effects are used as a method of storytelling or making a creative point without dialogue.

h4. Table of contents [#top]

* [i][[#taghelp|I. Tagging guide]][/i]
** [i][[#formintro|Introduction to forms]][/i]
** [i][[#identification|Identification]][/i]
*** [i][[#onomatopoeia|Onomatopoeia, and vocalizations]][/i]
** [i][[#howtotag|Finding the right tag]][/i]
** [i][[#actiontagging|Action tagging]][/i]
** [i][[#newtags|New tag creation]][/i]
** [i][[#lettershiftintro|Introduction to letter shifting]][/i]
* [i][[#tagformat|II. Formats]][/i]
* [i][[#taggroup|III. Sound effect tags]][/i]
* [i][[#foreign|IV. Foreign sound effects]][/i]
* [i][[#soundgroup|V. Sound groups]][/i]
* [i][[#faq|VI. F.A.Q.]][/i]

h4. What are sound effects?

* A type of effect that represents an event, or action through sound, or a representation of sound. [sub]A sound effect can represent an action, even if that action is not known to produce a sound.[/sub]

[section=Textual sound effects]

A sound effects represented through [[text]], and the primary focus of the `sound_effects` tag.

h4. Categories

* [[onomatopoeia]] - Sounds represented through words (e.g. ""Honk"", ""Boom"", ""Meow"").

h5. Approximated sound effects

Sounds represented through approximated, or generic spellings (e.g. ""Bzzzt"", ""Kerploosh"", ""Krrsh"", ""Splsh"")

* [[vowelless_sound_effect]] - There is not a single tag to represent all approximated sounds. The best way to access approximated sounds is through this tag, or a modified form tag.

[/section]
[section=Audible sound effects]

Audible sound effects are not yet supported through this tag, but could be supported in the future. Many common sounds can be represented in both text, and audible forms.

* Sound effects represented through an audio track. A sound effect should be more than a character speaking.
* These should never be tagged as [[onomatopoeia]], or an approximated sound effect tag.

h4. Audible tags

[i]Not all of these are actual sound effects.[/i]

* [[audible_creampie]]

[/section]

h4. Tagging guide [[#top|^]][#taghelp]

[section,expanded=Tagging guide]

* Sound effects are tagged based on their form, or their related common theme.
* Always try to tag more specifically than `sound_effects`, or `onomatopoeia` if possible. Use the context as a guide.


[section=Tagging methods]

h6. Less helpful tagging

[quote]
Using `licking sound_effects` to describe licking as a sound effect. 
[/quote]

h6. More helpful tagging

[quote]
Using `licking licking_sound_effect` to describe licking as a sound effect. 
[/quote]

h6. Most helpful tagging

[quote]
Using `licking licking_sound_effect`and `onomatopoeia` (""Lick""), or `vowelless_sound_effect` (""Lk"") to describe licking as a sound effect. 
[/quote]

[/section]

h4. Introduction to forms [[#top|^]][#formintro]

The default, or standardized spelling of a sound effect is known as the base form for that sound effect. An alternate spelling of a base form is known as a modified form.

Modified form tags may be found [[#forms|here]]. Detailed explanations on usage may be found in their respective wikis.

h4. How to identify sound effects [[#top|^]][#identification]

Sound effects represent actions, sounds, and often both.

* Look for isolated text near characters or objects, and determine its purpose.
* Artists will often format sound effects, and vocalizations differently than [[dialogue]]. Look for differences in how the text looks.
* Sound effects may also be [[sound_effects_in_dialogue|embedded in the dialogue itself]]. It does not matter where the artist puts the sound effect, this tag can still be used. 

[section=Onomatopoeia identification] [[#top|^]][#onomatopoeia]

[[Onomatopoeia]] are sound effects that resemble or are based on words.

For tagging purposes, a word includes dictionary words (""Buzz"", ""Huff"", ""Lick"", ""Twitch""), slang words (""Plap"", ""Shlick""), constructed or modified words (""Glorp"", ""Shlop"", ""Splurt"", ""Thoom""), and multiple word sound effects (""Horny squeak""). The subject matter of the word doesn't matter (though be careful with tagging vocalizations). Most words can theoretically function as an onomatopoeia.

h4. Tagging criteria

Use the following criteria to determine if a sound effect is an onomatopoeia.

* Many vocalizations do not count as sound effects. For exceptions, see [i]Vocalizations[/i] section.
* Most [[animal noises]], and [[breathing noises]] in their proper forms count as onomatopoeia.
* [[Vowelless]] forms are [u]never[/u] onomatopoeia.
** They may not always qualify as sound effects either. The ones that do fall under [[vowelless_sound_effect]].
* The form is not excessively garbled (contains random, non-sensible letters).
* The form is a fully formed word, formed with [[multi-word_onomatopoeia|multiple words]], or appears like it could pass off as a word.
** Onomatopoeia may contain [[extended_sound_effect|extra letters than it should have]] (""Mooo"", ""Riiip"", ""Sluurrrp""), but should not be tagged when the form is missing letters that it should have (""Bzzz"", ""Gurgl"", ""Swsh"").
** Alternate spellings are usually okay to tag as onomatopoeia (""Slurk"", ""Shlurk"", and ""Schlurk"" are all onomatopoeia).

[/section]

[section=Vocalization identification]

A [[vocalization]] is a sound, or representation of a sound, that is vocalized (produced by vocal chords), but does not form proper words (would not fit into a speech theme such as [[dialogue]], or [[inner_monologue]]). 

* By default vocalizations [u]do not[/u] qualify as sound effects, with the exception being those that are represented by onomatopoeic words.
** If the term is better described as a [[grunting|grunt]], [[laugh]], or [[moan]], the `sound_effects` tag probably doesn't apply. Literal representation of vocalizations count as both (such as ""Giggle"" in the example below).

h4. Example

thumb #3465882

* Most [[animal noises]] (""Chirp"", ""Meow"", ""Woof"", etc) function the same way being both onomatopoeia, and vocalizations.

[/section]

h4. How to tag sound effects [[#top|^]][#howtotag]

h6. Knowing common synonyms can be helpful

* Action sound effects are often stored in umbrella tags for a common action. See [[pulling_sound_effect]]
** Actions that do not have their own dedicated sound effect tag (i.e. [[throbbing]]) are usually stored in a sound effect umbrella category based on the nature of the sound.

For a list of examples, see [[#categories|Sound categories]]

h6. Use the site's tag autocomplete to make finding tags easy

* The common form can often be found by typing the unknown sound effect into the tag box and seeing what pops up.
** Modified spellings are usually still stored in the base form. Do not worry too much if there are extra, or missing letters.
** Vowel shifts are often stored in a single tag for simplicity.

h4. Examples

[quote]
* Use [[splurt]] to represent both ""Splrt"", and ""Splurrt"".
* Use [[bwomp]] to represent both ""Bwump"" and ""Bwomph"". Do note that [[fwomp]] is a different form.
[/quote]

h6. Check the tag group

For a mostly complete list, see [[tag_group:sound_effects]].

h4. Action tagging [[#top|^]][#actiontagging]

[i]This section describes how to tag actions when there are sound effects present.[/i]

h6. Identify the purpose

* Ask yourself if the form represents contact, movement, or something else, and determine what action is being represented.

h6. Tagging guidelines

* Action tags may be tagged based on sound effect usage in most cases.
** Complex actions such as [[sex]] are not taggable if they are offscreen, but most lewd noises can be tagged in any situation.

* A sound effect can be associated with several action concepts that are related in an artistic sense, but not a tagging sense.

h4. Example

This image shows a kissing, and a swallowing sound effect being used as an interpretive mechanic. For the sake of simplicity, sound effect concepts can be used in a literal, or interpretive application.

thumb #2390655 This should neither be tagged as [[kissing]], or [[swallowing]], but it still contains a [[kissing_sound_effect|kissing]], and [[swallowing sound effect]].

h4. Creating new tags [[#top|^]][#newtags]

Factors that should be considered before starting a new sound effect tag:

* Does a tag already exist? 
** Keep in mind that the tag used to store a sound effect may not be spelled the same as it appears in an image. Lookup tables are provided in the [[tag_group:sound_effects|tag group]] if unsure.

[section=Tag name criteria]
 
* Choose an appropriate tag format. See [[#tagformat|Tag formats]] 
* Avoid using a non-standardized spelling as the tag name.

[/section]

[section,expanded=General guidelines]

A sound effect form may receive a dedicated tag if:

* It consists of a form that does not seem like a one-off usage for a particular image, or used exclusively by a single artist, who is likely intentionally trying to be unique through their sound effect usage. Try to identify relevant base  forms that have a more common usage instead.
* It is a dictionary word. Artists cannot claim sole usage to a word they didn't invent. It is generally okay to create tags for sound effects based on real words even if the subject matter is obscure or not drawn very often.
** If it is a verb, or closely related to a verb or action, consider if it should be part of an action sound effect tag. One may already exist!
** An action sound effect of the form `<verb>ing_sound_effect` has the added benefit of including synonyms to that action in the tag that would not be included if the base form was used instead.
** Some sound effect forms get stored in action tags instead for convenience, this is especially true for pure onomatopoeic concepts such as [[clicking]] and [[buzzing]].

Avoid creating new tags that are too similar to existing sound effects tags. You may be dealing with a derived form, and derived forms are usually stored in the tag for the base form. Dedicated tags for derived forms should be created sparingly.

It is recommended that you try to fill in a new tag with at least a few entries if you are going to make one.

[/section]

h4. Advanced techniques [[#top|^]][#lettershiftintro]

[section=Introduction to Letter shifting]

[b]Letter shifting[/b] refers to a phenomena where the base spelling of a sound effect is modified to produce a different phonetic sound while the usage of the sound effect remains identical. Vowel shifts tend to end up stored under a common tag, while consonant shifts tend to be stored as separate tags. Whether or not similarly spelled terms should be kept separate, or combined depends on several factors including how each sound effect tends to be used. A shift in this context refers to one letter, being swapped out for another letter.

h4. How to handle letter shifts

* The best method of handling letter shifts is to use the site's autocomplete. Most of these letter shifted terms have preexisting tags.
* If it looks like a sound is a variation of another form, it probably is.

h4. Lookup table (Under construction)

This table contains established tags for various letter shift forms.

[table]
[thead][tr][th]Sound effect[/th][th] Sound effect combinations[/th][th] Similar sound effects[/th][/tr][/thead]
[tbody]

[tr][td] [[blorp]] [/td][td]  ""Blurp"" (when not used for [[burping]]) [/td][td]""Blort"", ""Glorp""[/td][/tr]
[tr][td] [[blort]] [/td][td]  ""Blurt""  [/td][td]  [/td][/tr]
[tr][td] [[glomp_(sound_effect)]] [/td][td]  ""Glump"", ""Glomf"" [/td][td]  [/td][/tr]
[tr][td] [[glorp]] [/td][td]  ""Glurp"" [/td][td]  [/td][/tr]
[tr][td] [[glunk_(sound_effect)]] [/td][td] ""Glonk"" [/td][td]  [/td][/tr]
[tr][td] [[glurb]] [/td][td] ""Glorb"" [/td][td] ""Blorb"" [/td][/tr]
[tr][td] [[glurt]] [/td][td]  ""Glort"" [/td][td]  [/td][/tr]
[tr][td] [[slurk]] [/td][td] ""Shlerk"", ""Shlurk"", ""Slork"" [/td][td]  [/td][/tr]
[tr][td] [[slosh]] [/td][td]  ""Shlosh"", ""Slish"", ""Slush"" [/td][td]  [/td][/tr]
[tr][td] [[splash]] [/td][td] ""Splish"", ""Splosh"", ""Sploosh"" [/td][td]  [/td][/tr]

[/tbody]
[/table]

[/section]
[/section]

h4. Tag Formats [[#top|^]][#tagformat]

[section=Tag formats]

[table][thead][tr][th]Format[/th][th]Format information[/th][/tr][/thead]
[tbody]

[tr][td]Unformatted[/td][td]Sound effect tags that don't end in -ing, if not functioning also as an action tag, shall be treated as if they have the `_(sound_effect)` suffix. It is recommended that a sound effect tag have a suffix.[/td][/tr]
[tr][td]Ends in `-ing`[/td][td]These are verbs, whether they refer to sounds, actions, or both.[/td][/tr]
[tr][td]`_(sound_effect)`[/td][td]The base form is the same as the tag name (e.g. `squeeze_(sound_effect)` is only used for ""Squeeze"", or a very similar form). [/td][/tr]
[tr][td]`_sound_effect`[/td][td]A group of sound effects pertaining to a particular action, or concept (e.g. `kissing_sound_effect` is used for any synonym for kissing including ""Kiss"", ""Chu"", and ""Smooch"").[/td][/tr]
[tr][td]`_noises`[/td][td]A group of sounds pertaining to a particular event, or common theme. These tags support both audible and textual sound effects.[/td][/tr]
[tr][td]`_onomatopoeia`[/td][td]This format refers to groups (usually large) of [[onomatopoeia]] that share a common theme.[/td][/tr]

[/tbody]
[/table]

[/section]

[#taggroup]
[section,expanded=Sound effect tags]

For a more complete list, see [[tag_group:sound_effects]].

h4. Sound effect forms [[#top|^]][#forms]

[See: [[#formintro|Introduction to forms]]]

* [[onomatopoeia]]
* [[vowelless_sound_effect]]

h5. Modifier tags [[#top|^]]

[i]These tags describe some aspect of the sound effect form. These tags are useful for finding sound effects that are different than their expected spelling.[/i]

* [[derived_sound_effect]] - Spelling variations that are more than adding extra repeated letters, or removing letters. 
* [[sound_effect_variant]]
** [[extended_sound_effect]] - Sound effects emphasized to have a longer sound than expected.
** [[shortened_sound_effect]] - Sound effects emphasized to have a shorter sound than expected.

h4. Basic sounds [[#top|^]]

[i]Basic sounds are sounds that exclusively refer to their respective sounds. These may be used whenever some variation of the sound term is present in the image.[/i]

* [[beep|beeping]]
* [[buzzing]]
* [[clacking]]
* [[clanging]]
* [[clattering]]
* [[clicking]]
* [[clinking]]
* [[crackling]]
* [[creaking]]
* [[ding|dinging]]
* [[jingling]]
* [[pinging]]
* [[rattling]]
* [[ringing]]
* [[rustling]]
* [[sizzling]]
* [[squeaking]]
* [[squelching]] - Wet suctioning sound similar to pulling something out of mud.
* [[thumping]]

h4. Sound categories  [[#top|^]][#categories]

* [[contact_onomatopoeia]] - Terms related to physical contact (rubbing, gripping, squeezing)
** [[impact_onomatopoeia]] - Terms related to hitting / striking.
* [[motion_onomatopoeia]] - Terms related to physical motion (twitching, throbbing, wiggling, wagging, swishing)

The list of known sound effects associated with a verb. Keep in mind that not all usages will be consistent with the verb, and some verbs may have several tags associated with them.

[section=General purpose verbs]

Sound effect tags of the format `<verb>_sound_effect` refer to words that are representative of the verb, and include synonyms of those terms. These tags should always use verbs that end in the present tense `-ing` if possible.

[table][thead][tr][th] Sound effect tag[/th][th] Sound effects under this tag[/th][th]Extra information[/th][/tr][/thead]
[tbody]

[tr][td] [[biting_sound_effect]] [/td][td]  bite, chomp, nom, nibble, om nom nom  [/td][td] [/td][/tr]
[tr][td] [[expansion_sound_effect]] [/td][td]  bloat, bwomp (sometimes), fwomp (sometimes), swell  [/td][td] [/td][/tr]
[tr][td] [[gripping_sound_effect]] [/td][td]  hold, grab, grip, grope [/td][td] General grabbing / holding themes [/td][/tr]
[tr][td] [[kissing_sound_effect]] [/td][td]  kiss, smooch, chu [/td][td] This is sometimes used for light touching, or [[frottage]] [/td][/tr]
[tr][td] [[licking_sound_effect]] [/td][td]  lick, lap [/td][td] [[licking]] [/td][/tr]
[tr][td] [[pulling_sound_effect]] [/td][td]  pull, tug, yank, drag? [/td][td] Various pulling themes [/td][/tr]
[tr][td] [[rubbing_sound_effect]] [/td][td]  rub, grind [/td][td] [[rubbing]], [[grinding]] [/td][/tr]
[tr][td] [[scratching_sound_effect]] [/td][td]  claw, scratch, scritch [/td][td] [[scratching]] [/td][/tr]

[/tbody][/table]

[/section]

[section=Special themes]

Special theme tags are sound effect categories that are better represented by adjectives, or nouns instead of verbs. 

[table][thead][tr][th] Sound effect tag[/th][th] Sound effects under this tag[/th][/tr][/thead]
[tbody]

[tr][td] [[atmospheric_sound_effect]] [/td][td]  Words associated with the general mood, or ambiance of the scene (doom, [[menacing_(meme)]]) [/td][/tr]
[tr][td] [[expressive_sound_effect]] [/td][td]  Words associated with emotions, or highlight a facial action. (blink?, blush, grin, smile, wink) [/td][/tr]
[tr][td] [[frictional_sound_effect]] [/td][td]  Words associated with friction, or the effects of friction (fap, rubbing group (grind, rub), sliding group (shlick, shlip, slick, slide, slip)).[/td][/tr]
[tr][td] [[rotational_sound_effect]] [/td][td]  Words associated with turning, or rotating (rotate, spin, twirl, twist) [/td][/tr]
[tr][td] [[thickness_sound_effect]] [/td][td]  Words associated with mass, thickness, or fat (bulk, chub, fat, plump, thicc) [/td][/tr]
[tr][td] [[velocity_sound_effect]] [/td][td]  Words associated with moving quickly, or slowly (woosh, fwoosh, zoom, zip (in certain situations)[/td][/tr]

[/tbody][/table]

[/section]
[/section]

h4. Foreign sound effects [[#top|^]][#foreign]

[i]Include here information on how to translate sounds effects in different languages into their English equivalent tags.[/i]


[section,expanded=Japanese sound effects]

This section is intended to show text used for commonly appearing sound effects, and their probable meaning. 

[table][thead][tr][th] Katakana [/th][th]Hiragana[/th][th] Text meaning [/th][th] Extra information[/th][/tr][/thead]
[tbody]
[tr][td] ドキドキ [/td][td] どきどき [/td][td]  [[heartbeat]] [/td][td] [/td][/tr]
[tr][td] チュ [/td][td] ちゅ [/td][td]  [[kissing]] ([[kissing_sound_effect]]) [/td][td] [/td][/tr]
[tr][td] パンパン [/td][td] ぱんぱん [/td][td]  [[plap]], pap, slap, etc. [/td][td] [/td][/tr]
[tr][td] クチュ/グチュ [/td][td] くちゅ/ぐちゅ [/td][td]  [[shlick]] ([[vaginal_masturbation]])  [/td][td] [/td][/tr]
[tr][td] スー/スーッ [/td][td] すー/すーっ [/td][td]  [[sleeping]]  [/td][td] Refers to a soft [[breathing_noises|breathing noise]] similar to a [[sigh]] associated with sleeping. [/td][/tr]
[tr][td] ビクビク [/td][td] びくびく [/td][td]  twitch, tremble, shiver [/td][td] [/td]This is more of a sudden twitch or shudder.[/tr]
[tr][td] フル/プル/ブルッ [/td][td] ふる/ぷる/ぶるっ [/td][td]  [[shaking|shake]], tremble, shiver, [[nodding|nod]], shaking head [/td][td][/td][/tr]
[tr][td] ビュル [/td][td] びゅる [/td][td]  spurt, splurt [/td][td] [/td][/tr]

[/tbody][/table]

[/section]

[#soundgroup]
[section=Sound groups]

h5. Action sound group

The largest sound group containing most verbs and onomatopoeia.

h6. Active sound group

Contains the active verbs (verbs that relate to a visual, or physical change in state).

* Pull, Tug, Grab
* Shake (Shiver, Tremble)
* Slap (Shlap, Smack)
* Twitch (Throb)
* Wag

h6. Passive sound group

Contains the passive verbs (verbs that relate to a passive state).

* Loom
* Stare (Glare)

h5. Animal sound group

Contains all of the animal vocalizations. These are almost always an [[onomatopoeia]].

* [[animal_noises]]

h5. Bodily sound group

Contains most sounds related to consumption, digestion, and the natural release of gas ([[burping]] / [[fart]]).

* [[bodily_noises]]
** [[rumbling_stomach]]

h5. Breathing sound group

Contains sounds related to breathing (inhale and exhale). These are sometimes present inside a [[speech bubble]], or in between [[dialogue]].

* [[breathing_noises]]

* Gasp
* Huff (Pant)
* Phew
* Sigh
* Wheeze

h5. Fluidic sound group 

Contains sounds related to liquids, and behaviors of liquids. This will contain most ejaculate sounds.

* Bleed
* Drip (Dribble)
* Drool
* Schlick (Schluk, Schlk, Shlk, Shlorp)
* Splash (Splish, Sploosh)
* Splurt (Splrt, Spurt, Sprt)
* Squirt
* Squish (in the context of a fluid)

h5. Sexual sound group

Contains sounds related to [[sex]], and [[masturbation]].

* Fap (Fp)
* Plap (and its many variants)
* Shlick (and its many variants)

h5. Vocalization

Vocalizations may not necessarily fall under [[sound effects]], but they often don't fit the concept of [[dialogue]] either. They are sounds that are produced by the voice. Some examples may be more consistent with a sound effect, and others may be more consistent with dialogue.

* Animal vocalizations (Woof, Bark, Chirp)
* Coughs, grunts, clearing one's throat
* Groan (if produced with a voice)
* Interjections (Ah, Oh, Yip, Eek, Ugh)
* [[laugh|Laughing sounds]]
* [[moan|Moaning]]
* [[Muffled]] or [[vowelless_reaction|vowelless sounds]] (Mmph, Mmm, Ngh, Pfft)

[/section]

[#faq]
[section=Frequently Asked Questions]

[quote]
[i]Q. Why is sound effect tagging important?[/i]

[i]A. There are two methods artists use to depict actions in a static image. An action may be depicted using visual details, or by using effects (such as motion, and sound effects). Sound effect tags allow users to find actions that are based on visual details, based on sound effects, or a mixture of both. Often just pairing an action tag with the sound effects base tag will produce unpredictable results.[/i]

[i]There are more reasons than that:[/i]

[i]- Sound effects are a major form of narrative element that influences how images are tagged.
- Tag navigation is improved when organization is improved. Not all sound effects are created equal, and some hide the presence of other sound effects quite effectively.
- Some users love images with lots of sound effects in them, while others prefer to keep things simple, and uncluttered. People are different.

[/i]

[/quote]

[quote]
[i]Q. Why vowelless?[/i]

[i]A. Vowelless is a distinct form of sound effect, and the most recognizable example of approximated sounds. There are sound effects that are exclusively vowelless, and many forms are too inconsistent to have dedicated sound effect tags on their own, so it only makes sense to have a place for these tags. Additionally, there is a lesser known theme known as a vocalization that also commonly produces vowelless forms. These forms rarely get treated as sound effects, and users should know how to tell vowelless forms apart. See [[vowelless]] for more information.[/i]

[/quote]

[/section]

h4. See also [[#top|^]]

* [[tag_group:narrative_elements]]

* [[vocalization]]
** [[grunting]]
** [[laugh]]
** [[moan]]"
trinity_aegis,"""The Draconic Shield of Ice""

Trinity is the name of a dragon who gave her soul to be used to enchant a shield of draconic make. The process made the shield and her soul near indestructible, and empowered it with morphing and the elemental control of ice. 

The most notable image though, is the physical manifestation the shield forms in the shape of a female dragon. With this disposable and modifiable form, it interacts with others.

Created by: [[wolfy_wet_furr|Wolfy Wet Furr]]"
freya_crescent,"Freya Crescent is one of the main characters and party members appearing in Final Fantasy IX. She is a Dragon Knight from the Kingdom of Burmecia, wields various polearms throughout the game, and her abilities most closely resemble those of the Final Fantasy series' famous Dragoon class. 

Though a long-time friend of Zidane, Freya is in love with her mentor and fellow Burmecian, Sir Fratley. After Sir Fratley's disappearance several years prior to the events of the game, Freya left Burmecia in search of him.

The player first discovers Freya in Lindblum, a city-state neighboring Burmecia, shortly before the local Festival of the Hunt."
faceless_human,"thumb #2396 thumb #29144

Tagged for characters whose face is hidden or out-of-frame but there is sufficient evidence that they are [[human]].

Note that this should only be tagged if the torso is partially visible. Tag either this or [[disembodied penis]] for the character, not both. [sup](Unless it is a [[multiple_images|multi-image]], [[comic]], [[sequence]], etc where both might be applicable.)[/sup]

h4. See also
* [[faceless character]]
"
romantic_era,"Romanticism (also known as the Romantic era) was an artistic, literary, musical and intellectual movement that originated in Europe toward the end of the 18th century, and in most areas was at its peak in the approximate period from 1800 to 1850."
miyu_lynx,"Thumb #3354652 thumb #2741115 
A pilot and member of the Star Fox team from the SNES Classic game [i]Star Fox 2[/i]. Like her comrade, [[fay_spaniel|Fay]], she pilots an interceptor variant of the Arwing with high firepower and agility, but little armor."
flaring,"When the [[glans]] of an [[equine_penis]], a [[turtle_penis]], or any other [[flared]] [[penis]] is in an engorged state or [[becoming_erect]] in an [[animated]] image or a [[sequence]] of images within a single page.

See also [[flare_swelling]] and [[knot_swelling]]"
erilaz,"Erilaz Helrunareiks (𐌴𐌺𐌹𐌻𐌰𐌶 𐌷𐌰𐌻𐌾𐍉𐍂𐌿𐌽𐌰𐍂𐌴𐌹𐌺𐍃) is an abra from the Seithberendr, an abrakin community of rune masters and seiðr users. He's 18's and the only disciple of Zener."
in_bubble,Images in which a character or creature is inside a bubble of some kind.
inorog,"Unicorn with blue hair, an eye patch on left eye; often appears in spanking art.

Owner's socials:
https://twitter.com/TheManlyUnicorn
https://www.furaffinity.net/user/croup/"
tan_arms,"thumb #3732473 thumb #3373360

Used when a character has arms that are beige in color.

https://en.wikipedia.org/wiki/Beige

[section=Colors]
h4. Arms [[tag_group:colors|Colors]]

* [[black_arms]]
* [[blue_arms]]
* [[brown_arms]]
* [[green_arms]]
* [[grey_arms]]
* [[orange_arms]]
* [[pink_arms]]
* [[purple_arms]]
* [[red_arms]]
* tan_arms
* [[teal_arms]]
* [[white_arms]]
* [[yellow_arms]]

* [[monotone_arms]]
* [[multicolored_arms]]
** [[two_tone_arms]]

* [[dark_arms]]
* [[light_arms]]

[/section]"
cracky,Bestiality and cub content is DNP
leg_glider_position,"thumb #312681 thumb #730001 thumb #4351272

A sex position where the Top is upright and the Bottom is usually on their side (or less commonly on back), with [b]one leg raised up[/b] and the other leg either spread out or straddled by the Top.

If the penetrated partner is upright, and it is not a [[tribadism]] scenario, this position becomes [[reverse leg glider position]] instead.

[section=Leg glider position examples]

h4. [[scissored_leg_glider_position|Scissored Leg Glider]]

thumb #2592600 thumb #1985777 thumb #1167446

h5. Unusual variants

These are related to leg glider, but may be better placed in another position tag.
thumb #2258799 thumb #2269844 thumb #2219586

h4. [[platform_leg_glider_position|Platform Leg Glider]]

thumb #312681 thumb #1132732 thumb #2002741

h5. Unusual variants

These are related to leg glider, but may be better placed in another position tag.
thumb #1293649 thumb #448742 thumb #339809

h4. Leg Away

thumb #2839718 thumb #2532803 thumb #2822412

h5. Unusual variants

These are related to leg glider, but may be better placed in another position tag.
thumb #1755894 thumb #2780217 thumb #1510460

h4. Size Difference

There are many ways to depict the leg glider position when the size of the characters varies.

thumb #2134248 thumb #2854472 thumb #988454 thumb #2019463

[/section]

h4. Not to be confused with

* [[anvil_position]]
* [[ballerina_position]]
* [[spoon_position]]

h4. Related tags

* [[hand_on_leg]]
* [[hands_on_leg]]
* [[raised_leg_grab]]

h4. See also

* [[tag group:sex positions]]
* [[table lotus position]]
** [[twisted table lotus]]

* [[one_leg_up]]"
aurora_(stormwolff),"Female character of Stormwolff's, seems to no longer be in use as his gallery is devoid of the pieces she was in."
french_text,"A tag given to posts that contain text written in French.
"
inkling_girl,"Inkling Girl is the default design of the Inkling girl of the Splatoon series. The poster girl, if you will.
She is also the character played in Super Smash Bros Ultimate.

She will generally look like this (from Splatoon 1, 2, and 3)
thumb #2616572 thumb #2749850 thumb #2622654

of course, she can wear different outfits, have different skin tones, and have different hair colors. 
But the design in the face area (facial features and hairstyle) will usually stay [i]the same[/i]

The moment the style of her face or hair is changed is no longer Inkling Girl but should just be tagged ""Inkling""://e621.net/posts?tags=inkling"
pluto_(disney),"thumb #2913445

[b]Pluto[/b], also known as [b]Pluto the Pup[/b], is a [[dog]] character owned by [[Disney|The Walt Disney Company]]. He is [[Mickey Mouse]]'s loyal pet. Unlike fellow Disney dog character [[Goofy (Disney)|Goofy]], Pluto is [[feral|not anthropomorphic]]; he is the only member of Disney's ""Sensational Six"" leads who isn't an anthro character."
collaborative_bellyjob,"thumb #1731473


A [b]collaborative bellyjob[/b] involves two or more characters using their [[belly|bellies]] to stimulate the [[penis]] of another character. The character's penis is rubbed between the bellies. 

The two characters performing the collaborative bellyjob almost always have [[big belly|big bellies]], they may be [[slightly chubby|chubby]], [[overweight]], [[pregnant]], or [[bloated]] (involving [[inflation]], [[stuffing]] or [[vore]])  

h4. Related Tags
* [[bellyjob]]
* [[big belly]]
** [[huge belly]]
** [[hyper belly]]
* [[cum on belly]]
* [[penis on belly]]

h4. See Also
* [[collaborative sex]]
* [[belly to belly]]"
synced_to_music,"When elements of a video or animation (e.g., character motion, patterns) are syncronized with the rhythm or beat of accompanying music."
multiple_(disambiguation),"""[b]Multiple[/b]"" is a vague term here, and can refer to a many of various things. Any post with this tag should be corrected to have the more fitting tag instead of this tag.

For a list of ""multiple"" tags, see [[tag_group:multiple_tags]]. See also ""all tags with the word 'multiple'"":/tag?name=*multiple*&type=&order=count in the tag index."
urinal,"A plumbing fixture used for [[peeing|urinating]] into while [[standing]], found in men's public bathrooms. 

Urinals are typically wall mounted units, but may take the form of a floor length unit, or a shared trough.

h4. Related Tags
* [[toilet use]] — if the character is shown or implied to be urinating into a urinal

h4. See Also
* [[toilet]]
** [[squat toilet]]
"
schizoid,Only first two links are still active/working.
